date,holdings
2015-01-02,"['JNJ', 'JPM', 'META', 'PG', 'WMT']"
2015-08-03,"['AMZN', 'JNJ', 'JPM', 'META', 'WMT']"
2015-12-09,"['JNJ', 'JPM', 'META', 'PG', 'XOM']"
2016-01-19,"['AMZN', 'JNJ', 'JPM', 'META', 'PG']"
2016-02-03,"['AMZN', 'BRK-B', 'JNJ', 'PG', 'WMT']"
2016-02-05,"['AMZN', 'JNJ', 'JPM', 'META', 'PG']"
2016-07-12,"['BRK-B', 'JNJ', 'META', 'PG', 'WMT']"
2016-07-13,"['AMZN', 'JNJ', 'JPM', 'META', 'WMT']"
2016-08-01,"['BRK-B', 'JNJ', 'JPM', 'META', 'PG']"
2016-08-11,"['JNJ', 'JPM', 'META', 'WMT', 'XOM']"
2016-08-15,"['BRK-B', 'JNJ', 'JPM', 'META', 'PG']"
2017-02-17,"['JNJ', 'JPM', 'META', 'PG', 'XOM']"
2017-05-02,"['BRK-B', 'JNJ', 'JPM', 'WMT', 'XOM']"
2017-06-19,"['JNJ', 'JPM', 'META', 'PG', 'XOM']"
2017-06-23,"['BRK-B', 'JNJ', 'JPM', 'WMT', 'XOM']"
2017-07-11,"['JNJ', 'JPM', 'META', 'PG', 'XOM']"
2017-07-12,"['BRK-B', 'JNJ', 'JPM', 'WMT', 'XOM']"
2017-09-26,"['JNJ', 'JPM', 'META', 'V', 'XOM']"
2017-10-11,"['BRK-B', 'JNJ', 'JPM', 'WMT', 'XOM']"
2018-02-21,"['JNJ', 'JPM', 'META', 'V', 'XOM']"
2018-07-18,"['BRK-B', 'JNJ', 'JPM', 'V', 'XOM']"
2018-09-13,"['JNJ', 'JPM', 'META', 'V', 'XOM']"
2019-07-15,"['BRK-B', 'JNJ', 'JPM', 'V', 'WMT']"
2020-03-10,"['JNJ', 'META', 'PG', 'V', 'WMT']"
2020-03-24,"['BRK-B', 'JNJ', 'JPM', 'V', 'WMT']"
2020-04-03,"['JNJ', 'META', 'PG', 'V', 'WMT']"
2020-04-08,"['BRK-B', 'JNJ', 'JPM', 'V', 'WMT']"
2020-08-19,"['BRK-B', 'JNJ', 'TSLA', 'V', 'WMT']"
2021-01-12,"['BRK-B', 'JNJ', 'JPM', 'META', 'V']"
2021-03-08,"['BRK-B', 'JNJ', 'JPM', 'TSLA', 'V']"
2021-08-26,"['BRK-B', 'JPM', 'NVDA', 'TSLA', 'V']"
2021-10-28,"['BRK-B', 'JPM', 'META', 'NVDA', 'V']"
2022-04-06,"['BRK-B', 'META', 'NVDA', 'UNH', 'V']"
2022-05-25,"['JNJ', 'META', 'TSLA', 'UNH', 'V']"
2022-05-27,"['BRK-B', 'JNJ', 'META', 'NVDA', 'UNH']"
2022-09-02,"['BRK-B', 'JNJ', 'META', 'UNH', 'V']"
2022-10-14,"['BRK-B', 'JNJ', 'UNH', 'V', 'XOM']"
2022-11-21,"['JNJ', 'TSLA', 'UNH', 'V', 'XOM']"
2023-02-02,"['NVDA', 'TSLA', 'UNH', 'V', 'XOM']"
2023-03-16,"['META', 'NVDA', 'TSLA', 'UNH', 'V']"
2023-03-23,"['BRK-B', 'JNJ', 'META', 'TSLA', 'V']"
2023-04-06,"['JNJ', 'META', 'NVDA', 'TSLA', 'XOM']"
2023-05-11,"['BRK-B', 'META', 'TSLA', 'UNH', 'XOM']"
2023-05-12,"['META', 'NVDA', 'TSLA', 'UNH', 'V']"
2023-05-26,"['BRK-B', 'META', 'TSLA', 'UNH', 'V']"
2024-03-05,"['BRK-B', 'JPM', 'META', 'TSLA', 'V']"
2024-09-25,"['BRK-B', 'JPM', 'META', 'TSLA', 'WMT']"
